time,dr,drc,dw,dwc,nr,nwfirst,size
2129815,25088,7,0,0,8192,8192,13197
694064,16640,4,0,0,8192,697,697
1998827,25088,7,0,0,8192,8192,14732
544913,16640,4,0,0,8192,716,716
956189,33408,9,0,0,8192,8192,17134
715822,24832,5,0,0,8192,8192,12144
531920,16768,5,0,0,8192,733,733
1027360,16640,4,0,0,8192,703,703
850690,16640,4,0,0,8192,639,639
875512,66304,14,0,0,8192,8192,57344
2020720,33408,9,0,0,8192,8192,19850
564353,24960,6,0,0,8192,8192,13869
511368,16640,4,0,0,8192,621,621
3122084,157568,34,0,0,8192,8192,142658
1061495,24832,5,0,0,8192,8192,13580
1372869,16640,4,0,0,8192,640,640
669002,25216,8,0,0,8192,8192,10654
552894,16768,5,0,0,8192,703,703
1255345,16640,4,0,0,8192,886,886
564218,24832,5,0,0,8192,8192,10101
662759,41472,9,0,0,8192,8192,29611
632910,16640,4,0,0,8192,656,656
1680644,25216,8,0,0,8192,8192,16491
1404529,16768,5,0,0,8192,682,682
743549,16768,5,0,0,8192,655,655
1368908,16640,4,0,0,8192,680,680
2236605,16640,4,0,0,8192,657,657
1595506,24960,6,0,0,8192,8192,11910
620901,16768,5,0,0,8192,748,748
665269,33280,8,0,0,8192,8192,22522
611033,16768,5,0,0,8192,633,633
673037,16640,4,0,0,8192,655,655
624766,16768,5,0,0,8192,639,639
611135,16768,5,0,0,8192,675,675
636245,16768,5,0,0,8192,661,661
1599301,25088,7,0,0,8192,8192,9610
564643,16640,4,0,0,8192,649,649
922046,50048,13,0,0,8192,8192,37879
1682160,16640,4,0,0,8192,643,643
1958321,25088,7,0,0,8192,8192,15319
862100,41728,11,0,0,8192,8192,27332
480520,16768,5,0,0,8192,655,655
577456,33408,9,0,0,8192,8192,22967
506390,16768,5,0,0,8192,703,703
1327092,16768,5,0,0,8192,660,660
2225713,57600,9,0,0,8192,8192,47693
1630343,25088,7,0,0,8192,8192,15692
747275,16768,5,0,0,8192,696,696
824857,16768,5,0,0,8192,653,653
1718892,25088,7,0,0,8192,8192,9702
1724371,41600,10,0,0,8192,8192,29769
1386385,16640,4,0,0,8192,625,625
624348,33152,7,0,0,8192,8192,22898
712673,16768,5,0,0,8192,642,642
1810438,24832,5,0,0,8192,8192,16526
1130769,108160,26,0,0,8192,8192,95639
1459649,33280,8,0,0,8192,8192,23416
2660946,124928,31,0,0,8192,8192,114688
819555,41728,11,0,0,8192,8192,28207
658855,16768,5,0,0,8192,619,619
2252283,50048,13,0,0,8192,8192,34756
999123,16640,4,0,0,8192,661,661
575978,25088,7,0,0,8192,8192,14209
618951,25088,7,0,0,8192,8192,9309
664774,16768,5,0,0,8192,688,688
2812004,75008,19,0,0,8192,8192,59839
788864,25088,7,0,0,8192,8192,14505
1462212,16768,5,0,0,8192,624,624
822517,24960,6,0,0,8192,8192,14760
830741,16640,4,0,0,8192,613,613
643061,25344,9,0,0,8192,8192,16557
698723,16640,4,0,0,8192,8192,8359
1340637,16640,4,0,0,8192,606,606
564128,16768,5,0,0,8192,681,681
711613,41472,9,0,0,8192,8192,31795
1575079,16640,4,0,0,8192,655,655
1611725,25088,7,0,0,8192,8192,11200
1312756,16640,4,0,0,8192,738,738
1504270,25088,7,0,0,8192,8192,11704
1900103,41728,11,0,0,8192,8192,26568
1924488,41728,11,0,0,8192,8192,30734
2141158,33408,9,0,0,8192,8192,18182
535585,33024,6,0,0,8192,8192,24116
501257,16640,4,0,0,8192,675,675
3626289,141568,35,0,0,8192,8192,123479
1354708,16640,4,0,0,8192,652,652
1807118,33408,9,0,0,8192,8192,22536
1885837,41472,9,0,0,8192,8192,24947
2833766,24960,6,0,0,8192,8192,9071
1730889,16768,5,0,0,8192,603,603
2094705,33408,9,0,0,8192,8192,21397
2034259,50048,13,0,0,8192,8192,34416
527797,16768,5,0,0,8192,619,619
1639814,16768,5,0,0,8192,640,640
1001240,24832,5,0,0,8192,8192,11609
1548228,25088,7,0,0,8192,8192,15151
1427882,16768,5,0,0,8192,647,647
1542853,25088,7,0,0,8192,8192,15921
1381497,16640,4,0,0,8192,621,621
1457014,16640,4,0,0,8192,649,649
1903256,16768,5,0,0,8192,628,628
30010487,456187,728,0,0,8192,8192,92881
1429700,16640,4,0,0,8192,652,652
1641447,16768,5,0,0,8192,667,667
1814180,16768,5,0,0,8192,658,658
2535309,16640,4,0,0,8192,685,685
737598,33280,8,0,0,8192,8192,21469
1316966,16640,4,0,0,8192,655,655
1252429,25088,7,0,0,8192,8192,11249
707061,41728,11,0,0,8192,8192,32128
1811753,24832,5,0,0,8192,8192,15544
761689,41728,11,0,0,8192,8192,26116
938020,25088,7,0,0,8192,8192,13045
1132342,65920,11,0,0,8192,8192,53640
899451,24960,6,0,0,8192,8192,13549
2070589,41472,9,0,0,8192,8192,26568
1152673,16768,5,0,0,8192,625,625
674678,16768,5,0,0,8192,617,617
1133537,49408,8,0,0,8192,8192,36561
1125213,141440,34,0,0,8192,8192,126352
802401,24832,5,0,0,8192,8192,12301
697666,49920,12,0,0,8192,8192,37736
2290897,24832,5,0,0,8192,8192,14782
1384949,16768,5,0,0,8192,655,655
1314615,16640,4,0,0,8192,658,658
682330,16640,4,0,0,8192,724,724
2414593,66176,13,0,0,8192,8192,50925
1164030,16768,5,0,0,8192,706,706
1207751,49792,11,0,0,8192,8192,40768
1896846,33408,9,0,0,8192,8192,17302
1654541,33280,8,0,0,8192,8192,22228
763710,25088,7,0,0,8192,8192,14768
1522152,25088,7,0,0,8192,8192,12534
747693,16640,4,0,0,8192,616,616
1282128,16640,4,0,0,8192,612,612
1866938,41728,11,0,0,8192,8192,26763
1749695,41600,10,0,0,8192,8192,27436
1382791,16768,5,0,0,8192,705,705
1491942,24960,6,0,0,8192,8192,13405
2075370,33408,9,0,0,8192,8192,19239
2158402,25088,7,0,0,8192,8192,9255
1549299,24960,6,0,0,8192,8192,11751
1483254,24960,6,0,0,8192,8192,13541
1295981,16640,4,0,0,8192,716,716
1488486,24960,6,0,0,8192,8192,11961
1436374,16640,4,0,0,8192,698,698
1429314,16640,4,0,0,8192,655,655
2280609,75008,19,0,0,8192,8192,59498
1577514,33280,8,0,0,8192,8192,19405
1485370,25088,7,0,0,8192,8192,12235
961297,16640,4,0,0,8192,634,634
1410583,16768,5,0,0,8192,636,636
1357610,16640,4,0,0,8192,628,628
1464853,25088,7,0,0,8192,8192,13261
505089,16640,4,0,0,8192,619,619
1499279,24960,6,0,0,8192,8192,11833
1865484,41728,11,0,0,8192,8192,31632
2058973,50048,13,0,0,8192,8192,36559
1011591,41216,7,0,0,8192,8192,27092
1452222,16768,5,0,0,8192,667,667
809283,16768,5,0,0,8192,722,722
1657982,16768,5,0,0,8192,636,636
1691746,33280,8,0,0,8192,8192,21587
1654378,25088,7,0,0,8192,8192,15616
2104340,75008,19,0,0,8192,8192,63052
1502796,16640,4,0,0,8192,669,669
595076,25088,7,0,0,8192,8192,14799
1495597,24960,6,0,0,8192,8192,12319
1273309,16640,4,0,0,8192,625,625
1492339,25088,7,0,0,8192,8192,13938
1325316,16768,5,0,0,8192,625,625
1600173,33408,9,0,0,8192,8192,23272
1308590,16640,4,0,0,8192,627,627
1659020,16768,5,0,0,8192,654,654
1899851,41600,10,0,0,8192,8192,32026
729658,16640,4,0,0,8192,640,640
1644953,33408,9,0,0,8192,8192,17628
1610647,25088,7,0,0,8192,8192,9664
2041378,50048,13,0,0,8192,8192,37524
2199725,66688,17,0,0,8192,8192,50383
1643119,33408,9,0,0,8192,8192,23589
1332510,16768,5,0,0,8192,640,640
1666763,41472,9,0,0,8192,8192,30345
1425906,24960,6,0,0,8192,8192,15289
2595488,108288,27,0,0,8192,8192,92102
1912660,41216,7,0,0,8192,8192,28984
1383836,16768,5,0,0,8192,659,659
1575653,25088,7,0,0,8192,8192,9181
746771,16768,5,0,0,8192,609,609
1817280,50048,13,0,0,8192,8192,36650
1442841,16768,5,0,0,8192,7551,7551
1629208,25088,7,0,0,8192,8192,13389
2026433,66688,17,0,0,8192,8192,49867
1367659,16768,5,0,0,8192,667,667
1258829,16640,4,0,0,8192,725,725
1249036,16640,4,0,0,8192,640,640
1725191,33280,8,0,0,8192,8192,19622
1521534,25088,7,0,0,8192,8192,11622
1403387,16768,5,0,0,8192,688,688
514987,16640,4,0,0,8192,619,619
1771249,49920,12,0,0,8192,8192,38206
591127,16768,5,0,0,8192,697,697
3554250,199808,49,0,0,8192,8192,187385
1294234,16640,4,0,0,8192,676,676
370697,16768,5,0,0,8192,655,655
1626210,33408,9,0,0,8192,8192,17771
462171,25088,7,0,0,8192,8192,11118
1870884,50048,13,0,0,8192,8192,34552
1766751,33408,9,0,0,8192,8192,17208
1269208,16640,4,0,0,8192,8192,8192
1273405,16640,4,0,0,8192,727,727
1224433,16640,4,0,0,8192,679,679
1374143,16640,4,0,0,8192,670,670
1417627,16768,5,0,0,8192,703,703
1513711,25088,7,0,0,8192,8192,12432
1748167,41600,10,0,0,8192,8192,26057
1233991,16640,4,0,0,8192,649,649
716440,24960,6,0,0,8192,8192,15864
1425045,16768,5,0,0,8192,640,640
1673619,33280,8,0,0,8192,8192,18973
484830,24832,5,0,0,8192,8192,11470
1600588,25088,7,0,0,8192,8192,11551
1563059,24960,6,0,0,8192,8192,9404
2196698,74496,15,0,0,8192,8192,61052
1543679,24960,6,0,0,8192,8192,10413
1339125,16640,4,0,0,8192,633,633
1305192,16640,4,0,0,8192,702,702
1373254,16768,5,0,0,8192,688,688
