time,size,first_call,destination,dest_out_traffic,dest_in_traffic,total_network_out,total_network_in,dens10
169.747305732,1.575,1575,2,102.683,656582.498,113.039,2184384.36,0.940047395
169.749507438,0.286,286,2,102.969,656643.938,113.325,2184445.8,0.00220170599999
169.754556087,0.189,189,2,103.158,656658.274,113.514,2184460.136,0.005048649
169.808195957,0.221,221,2,103.379,656666.466,113.735,2184468.328,0.05363987
170.262823967,2.333,2333,2,105.712,656674.658,116.068,2184476.52,0.45462801
170.809230675,0.221,221,2,105.933,656685.922,116.289,2184487.784,0.546406708
171.723941456,0.189,189,2,106.122,656688.93,116.478,2184490.792,0.914710781
171.734905498,0.189,189,2,106.311,656690.786,116.667,2184492.648,0.010964042
171.74039623,0.189,189,2,106.5,656699.858,116.856,2184501.72,0.005490732
171.81027055,0.221,221,2,106.721,656716.242,117.077,2184518.104,0.06987432
172.811080909,0.221,221,2,106.942,656724.434,117.298,2184526.296,1.000810359
172.975844647,0.339,339,2,107.281,656733.474,117.637,2184535.336,0.164763738
173.811810532,0.221,221,2,107.502,656741.666,117.858,2184543.528,0.835965885
174.812526554,0.221,221,2,107.723,656758.05,118.079,2184559.912,1.000716022
175.813146337,0.221,221,2,107.944,656774.434,118.3,2184576.296,1.000619783
176.813894623,0.221,221,2,108.165,656790.818,118.521,2184592.68,1.000748286
177.814587101,0.221,221,2,108.386,656807.202,118.742,2184609.064,1.000692478
178.815222668,0.221,221,2,108.607,656823.586,118.963,2184625.448,1.000635567
179.816034263,0.221,221,2,108.828,656839.97,119.184,2184641.832,1.000811595
180.81668153,0.221,221,2,109.049,656856.354,119.405,2184658.216,1.000647267
181.81725458,0.221,221,2,109.27,656872.738,119.626,2184674.6,1.00057305
182.817929713,0.221,221,2,109.491,656880.93,119.847,2184682.792,1.000675133
182.975888951,0.339,339,2,109.83,656890.978,120.186,2184692.84,0.157959238
183.138183296,1.575,1575,2,111.405,656890.978,121.761,2184692.84,0.162294345
183.141749454,0.286,286,2,111.691,661477.474,122.047,2189279.336,0.00356615800001
183.211585071,0.189,189,2,111.88,661486.658,122.236,2189288.52,0.069835617
183.819018394,0.221,221,2,112.101,661503.042,122.457,2189304.904,0.607433323
184.820050498,0.221,221,2,112.322,661511.234,122.678,2189313.096,1.001032104
185.1554627,0.286,286,2,112.608,661512.194,122.964,2192672.776,0.335412202
185.172967871,0.189,189,2,112.797,661521.314,123.153,2192681.896,0.017505171
185.821116846,0.221,221,2,113.018,661537.698,123.374,2192698.28,0.648148975
186.82212974,0.221,221,2,113.239,661554.082,123.595,2192714.664,1.001012894
187.822877646,0.221,221,2,113.46,661570.466,123.816,2192731.048,1.000747906
188.823672768,0.221,221,2,113.681,661578.658,124.037,2192739.24,1.000795122
188.827313266,2.706,2706,2,116.387,661586.85,126.743,2192747.432,0.00364049800001
189.824541079,0.221,221,2,116.608,661603.234,126.964,2192763.816,0.997227813
190.825196856,0.221,221,2,116.829,661619.618,127.185,2192780.2,1.000655777
191.82594951,0.221,221,2,117.05,661636.002,127.406,2192796.584,1.000752654
192.826529239,0.221,221,2,117.271,661644.194,127.627,2192804.776,1.000579729
192.976119792,0.339,339,2,117.61,661653.282,127.966,2192813.864,0.149590553
193.827205593,0.221,221,2,117.831,661669.666,128.187,2192830.248,0.851085801
194.827806835,0.221,221,2,118.052,661686.05,128.408,2192846.632,1.000601242
195.828427325,0.221,221,2,118.273,661702.434,128.629,2192863.016,1.00062049
196.829083351,0.221,221,2,118.494,661718.818,128.85,2192879.4,1.000656026
197.829729766,0.221,221,2,118.715,661735.202,129.071,2192895.784,1.000646415
198.830360788,0.221,221,2,118.936,661751.586,129.292,2192912.168,1.000631022
199.830916283,0.221,221,2,119.157,661767.97,129.513,2192928.552,1.000555495
200.831488623,0.221,221,2,119.378,661784.354,129.734,2192944.936,1.00057234
201.832050208,0.221,221,2,119.599,661800.738,129.955,2192961.32,1.000561585
202.832636543,0.221,221,2,119.82,661808.93,130.176,2192969.512,1.000586335
202.975873289,0.339,339,2,120.159,661817.986,130.515,2192978.568,0.143236746
203.833173969,0.221,221,2,120.38,661834.37,130.736,2192994.952,0.85730068
204.833776928,0.221,221,2,120.601,661850.754,130.957,2193011.336,1.000602959
205.834391516,0.221,221,2,120.822,661867.138,131.178,2193027.72,1.000614588
206.834981175,0.221,221,2,121.043,661883.522,131.399,2193044.104,1.000589659
207.835587817,0.221,221,2,121.264,661899.906,131.62,2193060.488,1.000606642
208.836174856,0.221,221,2,121.485,661916.29,131.841,2193076.872,1.000587039
209.83681526,0.221,221,2,121.706,661932.674,132.062,2193093.256,1.000640404
210.837641689,0.221,221,2,121.927,661949.058,132.283,2193109.64,1.000826429
211.838349118,0.221,221,2,122.148,661965.442,132.504,2193126.024,1.000707429
212.838935123,0.221,221,2,122.369,661973.634,132.725,2193134.216,1.000586005
212.975923598,0.339,339,2,122.708,661982.658,133.064,2193143.24,0.136988475
213.840099793,0.221,221,2,122.929,661999.042,133.285,2193159.624,0.864176195
214.84086447,0.221,221,2,123.15,662015.426,133.506,2193176.008,1.000764677
215.84177645,0.221,221,2,123.371,662031.81,133.727,2193192.392,1.00091198
216.842782461,0.221,221,2,123.592,662048.194,133.948,2193208.776,1.001006011
217.84360736,0.221,221,2,123.813,662064.578,134.169,2193225.16,1.000824899
218.844212977,0.221,221,2,124.034,662080.962,134.39,2193241.544,1.000605617
219.844785204,0.221,221,2,124.255,662097.346,134.611,2193257.928,1.000572227
220.845403063,0.221,221,2,124.476,662113.73,134.832,2193274.312,1.000617859
221.846052157,0.221,221,2,124.697,662130.114,135.053,2193290.696,1.000649094
222.846660883,0.221,221,2,124.918,662138.306,135.274,2193298.888,1.000608726
222.976024709,0.339,339,2,125.257,662147.298,135.613,2193307.88,0.129363826
223.847301208,0.221,221,2,125.478,662163.682,135.834,2193324.264,0.871276499
224.847911956,0.221,221,2,125.699,662180.066,136.055,2193340.648,1.000610748
225.848498014,0.221,221,2,125.92,662196.45,136.276,2193357.032,1.000586058
226.849094092,0.221,221,2,126.141,662212.834,136.497,2193373.416,1.000596078
227.849786093,0.221,221,2,126.362,662229.218,136.718,2193389.8,1.000692001
228.850422257,0.221,221,2,126.583,662245.602,136.939,2193406.184,1.000636164
229.851064281,0.221,221,2,126.804,662261.986,137.16,2193422.568,1.000642024
230.851675909,0.221,221,2,127.025,662278.37,137.381,2193438.952,1.000611628
231.852340821,0.221,221,2,127.246,662294.754,137.602,2193455.336,1.000664912
232.853507307,0.221,221,2,127.467,662302.946,137.823,2193463.528,1.001166486
232.975952223,0.339,339,2,127.806,662311.906,138.162,2193472.488,0.122444916
233.854509308,0.221,221,2,128.027,662328.29,138.383,2193488.872,0.878557085
234.85521063,0.221,221,2,128.248,662344.674,138.604,2193505.256,1.000701322
235.855801347,0.221,221,2,128.469,662361.058,138.825,2193521.64,1.000590717
236.856369641,0.221,221,2,128.69,662377.442,139.046,2193538.024,1.000568294
237.857157735,0.221,221,2,128.911,662393.826,139.267,2193554.408,1.000788094
238.858543442,0.221,221,2,129.132,662410.21,139.488,2193570.792,1.001385707
239.859394963,0.221,221,2,129.353,662426.594,139.709,2193587.176,1.000851521
240.860931718,0.221,221,2,129.574,662442.978,139.93,2193603.56,1.001536755
241.861756912,0.221,221,2,129.795,662459.362,140.151,2193619.944,1.000825194
242.862356629,0.221,221,2,130.016,662467.554,140.372,2193628.136,1.000599717
242.975997459,0.339,339,2,130.355,662476.482,140.711,2193637.064,0.11364083
243.862968374,0.221,221,2,130.576,662492.866,140.932,2193653.448,0.886970915
244.863526436,0.221,221,2,130.797,662509.25,141.153,2193669.832,1.000558062
245.864064743,0.221,221,2,131.018,662525.634,141.374,2193686.216,1.000538307
