dst,size,time
10,0,1524634939566840
10,16,1524634939566878
10,16,1524634939566907
10,16,1524634939566927
10,16,1524634939566948
10,16,1524634939566969
10,16,1524634939566990
10,16,1524634939567011
10,16,1524634939567031
10,16,1524634939567061
10,16,1524634939567099
10,16,1524634939567120
10,16,1524634939567144
10,16,1524634939567166
10,16,1524634939567187
10,16,1524634939567239
10,16,1524634939567276
10,16,1524634939567340
10,16,1524634939567445
10,16,1524634939567493
10,14748,1524634939567531
10,14748,1524634939567579
10,14748,1524634939567638
10,14748,1524634939567701
10,14748,1524634939567745
10,14748,1524634939567805
10,14748,1524634939567902
10,14748,1524634939567944
10,14748,1524634939568090
10,14748,1524634939568187
10,14652,1524634939568283
10,14748,1524634939568390
10,14748,1524634939568582
10,14748,1524634939568677
10,14748,1524634939568811
10,14748,1524634939568894
10,14748,1524634939568958
10,14748,1524634939569045
10,14748,1524634939569163
10,14748,1524634939569238
10,14748,1524634939569428
10,14748,1524634939569490
10,14748,1524634939569553
10,14748,1524634939569640
10,14748,1524634939569747
10,14748,1524634939569832
10,14748,1524634939569897
10,14748,1524634939570056
10,14748,1524634939570101
10,14748,1524634939570142
10,14748,1524634939570205
10,14748,1524634939570320
10,14748,1524634939570395
10,14748,1524634939570663
10,14748,1524634939570745
10,14748,1524634939570817
10,14748,1524634939570948
10,14748,1524634939571013
10,14748,1524634939571061
10,14748,1524634939571139
10,14748,1524634939571213
10,14748,1524634939571387
10,14748,1524634939571436
10,14748,1524634939571470
10,14748,1524634939571546
10,14748,1524634939571626
10,14748,1524634939571803
10,14748,1524634939571846
10,14748,1524634939571887
10,14748,1524634939572063
10,14652,1524634939572139
10,14748,1524634939572179
10,14748,1524634939572319
10,14748,1524634939572416
10,14748,1524634939572524
10,14748,1524634939572654
10,14748,1524634939572683
10,14748,1524634939572807
10,14748,1524634939572899
10,14748,1524634939572980
10,14748,1524634939573082
10,14748,1524634939573226
10,14748,1524634939573338
10,14748,1524634939573415
10,14748,1524634939573487
10,14748,1524634939573542
10,14748,1524634939573659
10,14748,1524634939573693
10,14748,1524634939573779
10,14748,1524634939573828
10,14748,1524634939573863
10,14748,1524634939573912
10,14748,1524634939574017
10,14748,1524634939574135
10,14748,1524634939574181
10,14748,1524634939574250
10,14748,1524634939574286
10,16,1524634939575124
10,16,1524634939575152
10,16,1524634939575175
10,16,1524634939575270
10,16,1524634939575315
10,16,1524634939575353
10,16,1524634939575409
10,16,1524634939575431
10,16,1524634939575489
10,16,1524634939575524
10,0,1524634939575642
10,0,1524634939575666
10,0,1524634939575694
10,0,1524634939575732
10,0,1524634939575766
10,0,1524634939575788
10,0,1524634939575809
10,0,1524634939575830
10,16,1524634939575852
10,16,1524634939575873
10,16,1524634939575937
10,16,1524634939575960
10,16,1524634939575982
10,16,1524634939576023
10,16,1524634939576080
10,16,1524634939576116
10,16,1524634939576146
10,16,1524634939576167
10,16,1524634939576188
10,16,1524634939576213
10,16,1524634939576235
10,16,1524634939576256
10,16,1524634939576285
10,16,1524634939576316
10,16,1524634939576359
10,16,1524634939576416
10,16,1524634939576439
10,16,1524634939576461
10,16,1524634939576503
10,16,1524634939576537
10,16,1524634939576558
10,16,1524634939576592
10,16,1524634939576619
10,16,1524634939576651
10,16,1524634939576713
10,16,1524634939576741
10,16,1524634939576774
10,16,1524634939576812
10,16,1524634939576839
10,16,1524634939576861
10,0,1524634939576882
10,0,1524634939576903
10,0,1524634939576925
10,0,1524634939576947
10,0,1524634939576996
10,0,1524634939577029
10,0,1524634939577053
10,0,1524634939577077
10,16,1524634939577124
10,16,1524634939577144
10,16,1524634939577187
10,16,1524634939577210
10,16,1524634939577240
10,16,1524634939577265
10,16,1524634939577288
10,16,1524634939577309
10,16,1524634939577332
10,16,1524634939577365
10,16,1524634939577392
10,16,1524634939577422
10,16,1524634939577472
10,16,1524634939577498
10,16,1524634939577535
10,16,1524634939577558
10,16,1524634939577581
10,16,1524634939577603
10,16,1524634939577626
10,16,1524634939577660
10,16,1524634939577688
10,16,1524634939577711
10,16,1524634939577733
10,16,1524634939577781
10,16,1524634939577824
10,16,1524634939577844
10,16,1524634939577869
10,16,1524634939577910
10,16,1524634939577931
10,0,1524634939577954
10,0,1524634939577995
10,0,1524634939578017
10,0,1524634939578039
10,0,1524634939578077
10,0,1524634939578098
10,0,1524634939578119
10,0,1524634939578148
10,16,1524634939578174
10,16,1524634939578210
10,16,1524634939578231
10,16,1524634939578252
10,16,1524634939578273
10,16,1524634939578307
10,16,1524634939578330
10,16,1524634939578380
10,16,1524634939578406
10,16,1524634939578439
10,16,1524634939578460
10,16,1524634939578494
10,16,1524634939578540
10,16,1524634939578591
10,16,1524634939578612
10,16,1524634939578647
10,16,1524634939578669
10,16,1524634939578711
10,16,1524634939578767
10,16,1524634939578789
10,16,1524634939578849
10,16,1524634939578881
10,16,1524634939578910
10,16,1524634939578948
10,16,1524634939578970
10,16,1524634939578992
10,16,1524634939579016
10,16,1524634939579054
10,16,1524634939579076
10,16,1524634939579100
10,16,1524634939579130
10,16,1524634939579197
10,0,1524634939579221
10,0,1524634939579242
10,0,1524634939579263
10,0,1524634939579284
10,0,1524634939579309
10,0,1524634939579334
10,0,1524634939579356
10,0,1524634939579378
10,16,1524634939579438
10,16,1524634939579484
10,16,1524634939579508
10,16,1524634939579531
10,16,1524634939579554
10,16,1524634939579578
10,16,1524634939579631
10,16,1524634939579707
10,16,1524634939579748
10,16,1524634939579779
10,16,1524634939579800
10,16,1524634939579822
10,16,1524634939579843
10,16,1524634939579864
10,16,1524634939579885
10,16,1524634939579906
10,16,1524634939579927
10,16,1524634939580015
10,16,1524634939580046
10,6556,1524634939580088
10,6556,1524634939580117
10,6556,1524634939580157
10,6556,1524634939580183
10,6556,1524634939580218
10,6556,1524634939580264
10,6556,1524634939580377
10,6556,1524634939580463
10,6556,1524634939580492
10,6556,1524634939580538
10,6460,1524634939580640
10,6556,1524634939580691
10,6556,1524634939580753
10,6556,1524634939580818
10,6556,1524634939580895
10,6556,1524634939580998
10,6556,1524634939581054
10,6556,1524634939581099
10,6556,1524634939581134
10,6556,1524634939581185
10,6556,1524634939581277
10,6556,1524634939581353
10,6556,1524634939581386
10,6556,1524634939581413
10,6556,1524634939581607
10,6556,1524634939581841
10,6556,1524634939581871
10,6556,1524634939581899
10,6556,1524634939581929
10,6556,1524634939582022
10,6556,1524634939582094
10,6556,1524634939582142
10,6556,1524634939582179
10,6556,1524634939582267
10,6556,1524634939582502
10,6556,1524634939582543
10,6556,1524634939582570
10,6556,1524634939582607
10,6556,1524634939582703
10,6556,1524634939582778
10,6556,1524634939582803
10,6556,1524634939582836
10,6556,1524634939582877
10,6556,1524634939582924
10,6556,1524634939583000
10,6556,1524634939583024
10,6556,1524634939583142
10,6556,1524634939583272
10,6556,1524634939583296
10,6556,1524634939583367
10,6460,1524634939583392
10,6556,1524634939583733
10,6556,1524634939583807
10,6556,1524634939583839
10,6556,1524634939583872
10,6556,1524634939583905
10,6556,1524634939583931
10,6556,1524634939583955
10,6556,1524634939584057
10,6556,1524634939584084
10,6556,1524634939584108
10,6556,1524634939584132
10,6556,1524634939584168
10,6556,1524634939584194
10,6556,1524634939584218
10,6556,1524634939584243
10,6556,1524634939584275
10,6556,1524634939584302
10,6556,1524634939584326
10,6556,1524634939584353
10,6556,1524634939584383
10,6556,1524634939584443
10,6556,1524634939584471
10,6556,1524634939584501
10,6556,1524634939584541
10,6556,1524634939584578
10,6556,1524634939584605
10,52,1524634939584978
10,52,1524634939585008
10,52,1524634939585046
10,52,1524634939585078
10,52,1524634939585098
10,52,1524634939585120
10,52,1524634939585197
10,52,1524634939585226
10,52,1524634939585263
10,52,1524634939585489
10,20,1524634939585527
10,52,1524634939585560
10,52,1524634939585583
10,52,1524634939585606
10,52,1524634939585628
10,52,1524634939585661
10,52,1524634939585692
10,52,1524634939585727
10,52,1524634939585778
10,52,1524634939585887
10,52,1524634939585941
10,52,1524634939585993
10,52,1524634939586024
10,52,1524634939586053
10,52,1524634939586083
10,52,1524634939586112
10,52,1524634939586133
10,52,1524634939586155
10,52,1524634939586176
10,52,1524634939586261
10,52,1524634939586289
10,52,1524634939586314
10,52,1524634939586335
10,52,1524634939586356
10,52,1524634939586378
10,52,1524634939586446
10,52,1524634939586498
10,52,1524634939586537
10,52,1524634939586560
10,52,1524634939586584
10,52,1524634939586608
10,52,1524634939586631
10,52,1524634939586652
10,52,1524634939586673
10,52,1524634939586699
10,52,1524634939586733
10,52,1524634939586778
10,52,1524634939586799
10,52,1524634939586831
10,52,1524634939586866
10,20,1524634939586890
10,52,1524634939586973
10,52,1524634939586994
10,52,1524634939587015
10,52,1524634939587042
10,52,1524634939587072
10,52,1524634939587094
10,52,1524634939587115
10,52,1524634939587136
10,52,1524634939587157
10,52,1524634939587178
10,52,1524634939587199
10,52,1524634939587229
10,52,1524634939587250
10,52,1524634939587339
10,52,1524634939587361
10,52,1524634939587499
10,52,1524634939587521
10,52,1524634939587545
10,52,1524634939587576
10,52,1524634939587598
10,52,1524634939587620
10,52,1524634939587661
10,52,1524634939587722
10,52,1524634939587759
10,52,1524634939587781
10,52,1524634939587811
10,52,1524634939587844
10,52,1524634939587870
10,52,1524634939587891
10,52,1524634939587920
10,52,1524634939587941
10,52,1524634939587962
10,52,1524634939587983
10,52,1524634939588004
10,52,1524634939588045
10,52,1524634939588069
10,20,1524634939588092
10,52,1524634939588113
10,52,1524634939588138
10,52,1524634939588176
10,52,1524634939588220
10,52,1524634939588244
10,52,1524634939588266
10,52,1524634939588288
10,52,1524634939588311
10,52,1524634939588342
10,52,1524634939588367
10,52,1524634939588388
10,52,1524634939588435
10,52,1524634939588473
10,52,1524634939588555
10,52,1524634939588579
10,52,1524634939588602
10,52,1524634939588624
10,52,1524634939588648
10,52,1524634939588673
10,52,1524634939588713
10,52,1524634939588734
10,52,1524634939588778
10,52,1524634939588799
10,52,1524634939588830
10,52,1524634939588856
10,52,1524634939588901
10,52,1524634939588923
10,52,1524634939588954
10,52,1524634939588989
10,52,1524634939589010
10,52,1524634939589031
10,52,1524634939589052
10,52,1524634939589073
10,52,1524634939589119
10,52,1524634939589197
10,52,1524634939589253
10,52,1524634939589275
10,52,1524634939589296
10,52,1524634939589318
10,20,1524634939589340
10,52,1524634939589362
10,52,1524634939589487
10,52,1524634939589535
10,52,1524634939589601
10,52,1524634939589680
10,52,1524634939589708
10,52,1524634939589895
10,52,1524634939589964
10,52,1524634939589994
10,52,1524634939590015
10,52,1524634939590061
10,52,1524634939590091
10,52,1524634939590113
10,52,1524634939590138
10,52,1524634939590163
10,52,1524634939590192
10,52,1524634939590219
10,52,1524634939590271
10,52,1524634939590298
10,52,1524634939590339
10,52,1524634939590437
10,52,1524634939590462
10,52,1524634939590487
10,52,1524634939590509
10,52,1524634939590532
10,52,1524634939590554
10,1640,1524634939590590
10,1640,1524634939590642
10,1640,1524634939590689
10,1640,1524634939590761
10,1640,1524634939590803
10,1640,1524634939590844
10,1640,1524634939590868
10,1640,1524634939590903
10,1640,1524634939590947
10,1640,1524634939590975
10,1576,1524634939591030
10,1640,1524634939591122
10,1640,1524634939591162
10,1640,1524634939591241
10,1640,1524634939591341
10,1640,1524634939591451
10,1640,1524634939591521
10,1640,1524634939591672
10,1640,1524634939591785
10,1640,1524634939591820
10,1640,1524634939591916
10,1640,1524634939592090
10,1640,1524634939592179
10,1640,1524634939592233
10,1640,1524634939592305
10,1640,1524634939592377
10,1640,1524634939592431
10,1640,1524634939592608
10,1640,1524634939592634
10,1640,1524634939592656
10,1640,1524634939592699
10,1640,1524634939592850
10,1640,1524634939593043
10,1640,1524634939593193
10,1640,1524634939593330
10,1640,1524634939593433
10,1640,1524634939593501
10,1640,1524634939593629
10,1640,1524634939593667
10,1640,1524634939593703
10,1640,1524634939593816
10,1640,1524634939593973
10,1640,1524634939594010
10,1640,1524634939594129
10,1640,1524634939594168
10,1640,1524634939594257
10,1640,1524634939594287
10,1640,1524634939594339
10,1640,1524634939594369
10,1640,1524634939594398
10,1576,1524634939594422
10,1640,1524634939594514
10,1640,1524634939594568
10,1640,1524634939594633
10,1640,1524634939594658
10,1640,1524634939594696
10,1640,1524634939594736
10,1640,1524634939594840
10,1640,1524634939594875
10,1640,1524634939594941
10,1640,1524634939594978
10,1640,1524634939595003
10,1640,1524634939595039
10,1640,1524634939595073
10,1640,1524634939595141
10,1640,1524634939595180
10,1640,1524634939595210
10,1640,1524634939595255
10,1640,1524634939595383
10,1640,1524634939595494
10,1640,1524634939595566
10,1640,1524634939595603
10,1640,1524634939595639
10,1640,1524634939595690
10,1640,1524634939595765
10,1640,1524634939595798
10,1640,1524634939595858
10,8,1524634939596019
10,8,1524634939596048
10,8,1524634939596080
10,8,1524634939596101
10,8,1524634939596159
10,8,1524634939596222
10,8,1524634939596244
10,8,1524634939596265
10,8,1524634939596287
10,8,1524634939596309
10,0,1524634939596333
10,0,1524634939596354
10,0,1524634939596381
10,0,1524634939596418
10,0,1524634939596440
10,0,1524634939596461
10,0,1524634939596483
10,0,1524634939596505
10,8,1524634939596527
10,8,1524634939596548
10,8,1524634939596571
10,8,1524634939596593
10,8,1524634939596615
10,8,1524634939596637
10,8,1524634939596676
10,8,1524634939596713
10,8,1524634939596735
10,8,1524634939596756
10,8,1524634939596777
10,8,1524634939596797
10,8,1524634939596818
10,8,1524634939596840
10,8,1524634939596861
10,8,1524634939596882
10,8,1524634939596910
10,8,1524634939596931
